customer_id,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,senior_citizen,partner,dependents,phone_service,multiple_lines,online_security,online_backup,tech_support,streaming_tv,streaming_movies,paperless_billing,churn
CUST-00092,72,80.23,5771.61,Two year,No,Bank transfer,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00093,12,67.79,765.9,Month-to-month,No,Mailed check,0,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No,1
CUST-00094,34,31.58,1087.12,Month-to-month,Fiber optic,Mailed check,0,No,No,Yes,No,No,Yes,Yes,No,Yes,No,1
CUST-00095,33,44.66,1493.49,Two year,Fiber optic,Mailed check,0,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,1
CUST-00096,48,60.75,2884.28,Month-to-month,Fiber optic,Mailed check,0,Yes,No,Yes,No,No,No,No,No,Yes,Yes,1
CUST-00097,23,79.13,1823.52,Month-to-month,No,Credit card,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1
CUST-00098,62,70.4,4373.82,Month-to-month,Fiber optic,Credit card,0,No,No,Yes,Yes,Yes,No,No,Yes,No,No,1
CUST-00099,37,47.39,1751.97,Month-to-month,DSL,Mailed check,0,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,0
CUST-00100,44,18.66,805.22,Two year,Fiber optic,Electronic check,0,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,0
CUST-00101,35,68.62,2422.02,One year,Fiber optic,Credit card,0,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,0
CUST-00102,65,47.13,3055.38,Month-to-month,No,Electronic check,0,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00103,47,92.93,4338.01,One year,DSL,Electronic check,0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,0
CUST-00104,3,20.44,20.33,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,No,No,No,No,No,Yes,Yes,0
CUST-00105,1,77.65,102.87,One year,No,Electronic check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00106,5,114.03,582.48,Two year,No,Credit card,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,1
CUST-00107,14,35.79,502.82,Two year,No,Bank transfer,0,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00108,27,66.11,1776.16,Month-to-month,Fiber optic,Credit card,0,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,0
CUST-00109,9,27.33,235.39,Month-to-month,Fiber optic,Electronic check,0,No,No,Yes,No,Yes,No,No,Yes,Yes,No,1
CUST-00110,15,81.82,1205.79,Month-to-month,Fiber optic,Mailed check,0,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,1
CUST-00111,42,74.15,3105.67,One year,DSL,Credit card,0,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,0
CUST-00112,51,59.55,2994.65,Month-to-month,Fiber optic,Credit card,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0
CUST-00113,63,71.18,4469.62,Month-to-month,DSL,Bank transfer,0,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,1
CUST-00114,52,109.45,5685.18,Two year,DSL,Electronic check,0,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,0
CUST-00115,4,38.02,164.28,Month-to-month,No,Bank transfer,0,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00116,23,20.3,466.1,Month-to-month,DSL,Mailed check,0,No,No,Yes,Yes,No,Yes,No,No,No,No,1
CUST-00117,15,105.89,1604.25,Month-to-month,No,Mailed check,1,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,1
CUST-00118,43,76.87,3332.39,Month-to-month,DSL,Bank transfer,0,No,Yes,Yes,No,No,No,Yes,No,No,No,0
CUST-00119,29,108.85,3177.81,Month-to-month,DSL,Bank transfer,0,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,0
CUST-00120,36,78.89,2849.45,Month-to-month,Fiber optic,Bank transfer,1,Yes,No,Yes,No,No,Yes,No,No,No,No,0
CUST-00121,13,100.64,1308.56,Month-to-month,Fiber optic,Bank transfer,0,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,1
CUST-00122,32,61.83,1958.94,Month-to-month,Fiber optic,Electronic check,0,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,0
CUST-00123,71,94.49,6723.59,One year,No,Mailed check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00124,59,111.13,6590.26,Month-to-month,DSL,Bank transfer,0,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,0
CUST-00125,28,76.36,2144.92,One year,No,Electronic check,1,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00126,66,36.44,2443.39,Month-to-month,DSL,Electronic check,1,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,0
CUST-00127,42,45.42,1877.13,Month-to-month,No,Electronic check,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1
CUST-00128,45,38.26,1698.62,Two year,Fiber optic,Mailed check,0,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,0
CUST-00129,62,43.18,2694.26,Month-to-month,No,Credit card,0,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00130,57,49.25,2812.54,Month-to-month,Fiber optic,Electronic check,0,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,1
CUST-00131,6,74.62,474.0,Two year,DSL,Mailed check,0,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,1
CUST-00132,28,77.98,2183.13,One year,No,Bank transfer,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00133,28,61.5,1704.64,Month-to-month,DSL,Electronic check,0,No,No,Yes,No,No,No,No,No,No,Yes,1
CUST-00134,44,80.77,3549.61,Month-to-month,DSL,Credit card,1,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,1
CUST-00135,30,26.32,758.95,One year,No,Mailed check,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00136,62,26.95,1648.33,Two year,DSL,Credit card,0,No,No,Yes,No,No,No,No,No,No,Yes,0
CUST-00137,62,35.53,2222.31,Month-to-month,DSL,Electronic check,0,Yes,No,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,1
CUST-00138,1,70.84,88.3,Month-to-month,Fiber optic,Electronic check,1,No,No,Yes,Yes,No,Yes,No,No,No,No,1
CUST-00139,27,39.83,1082.67,Month-to-month,No,Electronic check,0,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No,1
CUST-00140,62,46.9,2873.38,Month-to-month,DSL,Mailed check,0,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,1
CUST-00141,3,58.83,169.32,Month-to-month,Fiber optic,Credit card,0,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,0
CUST-00142,70,100.81,7032.2,Month-to-month,Fiber optic,Electronic check,1,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,1
CUST-00143,72,19.41,1421.05,Month-to-month,No,Bank transfer,1,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00144,27,84.24,2262.81,Month-to-month,No,Electronic check,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00145,9,86.23,754.36,Two year,Fiber optic,Credit card,0,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,1
CUST-00146,62,99.46,6167.12,Month-to-month,Fiber optic,Bank transfer,0,No,No,Yes,No,No,Yes,No,Yes,Yes,No,1
CUST-00147,37,113.14,4173.38,Month-to-month,Fiber optic,Mailed check,0,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,0
CUST-00148,51,20.05,1052.22,Month-to-month,DSL,Electronic check,1,No,No,Yes,Yes,No,Yes,No,Yes,No,No,0
CUST-00149,44,33.69,1467.66,Two year,Fiber optic,Bank transfer,0,Yes,No,Yes,No,Yes,No,No,No,No,Yes,0
CUST-00150,24,108.39,2573.38,One year,No,Electronic check,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00151,59,64.77,3778.37,One year,Fiber optic,Electronic check,0,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,1
CUST-00152,32,75.59,2418.26,Month-to-month,DSL,Bank transfer,0,No,Yes,Yes,Yes,No,No,Yes,No,No,No,0
CUST-00153,52,85.63,4441.52,Two year,Fiber optic,Credit card,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,0
CUST-00154,62,87.26,5381.54,Month-to-month,Fiber optic,Credit card,0,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,0
CUST-00155,58,113.04,6580.1,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,Yes,No,No,Yes,No,No,No,No,0
CUST-00156,52,119.69,6237.22,One year,Fiber optic,Mailed check,0,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,0
CUST-00157,12,91.46,1096.96,Two year,Fiber optic,Credit card,0,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,1
CUST-00158,39,47.3,1871.99,One year,DSL,Mailed check,1,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,0
CUST-00159,2,107.73,228.71,Two year,No,Mailed check,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00160,3,23.02,52.6,Two year,Fiber optic,Credit card,0,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,0
CUST-00161,56,41.57,2307.14,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,0
CUST-00162,59,109.53,6478.63,Month-to-month,DSL,Electronic check,0,Yes,Yes,Yes,No,Yes,No,No,No,No,No,1
CUST-00163,2,44.13,96.19,Month-to-month,No,Bank transfer,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00164,2,40.51,84.41,Two year,No,Electronic check,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00165,54,32.09,1715.93,Month-to-month,Fiber optic,Mailed check,1,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,0
CUST-00166,1,105.63,117.79,Two year,DSL,Mailed check,0,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,0
CUST-00167,19,69.01,1296.08,Month-to-month,DSL,Mailed check,0,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,0
CUST-00168,2,86.84,171.64,Month-to-month,DSL,Credit card,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1
CUST-00169,53,42.38,2275.08,Month-to-month,Fiber optic,Electronic check,0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,1
CUST-00170,44,95.32,4180.86,Month-to-month,Fiber optic,Mailed check,0,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,1
CUST-00171,32,95.52,3025.18,Two year,Fiber optic,Electronic check,1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
CUST-00172,70,49.88,3470.55,Month-to-month,Fiber optic,Bank transfer,0,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,1
CUST-00173,32,59.89,1936.37,Month-to-month,DSL,Bank transfer,0,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,0
CUST-00174,68,39.39,2683.61,Month-to-month,DSL,Mailed check,0,No,No,Yes,No,No,No,No,Yes,Yes,No,1
CUST-00175,55,117.61,6465.97,Month-to-month,Fiber optic,Electronic check,0,No,No,No,No phone service,No,Yes,Yes,Yes,No,No,0
CUST-00176,56,83.85,4685.42,Month-to-month,DSL,Bank transfer,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,0
CUST-00177,17,113.32,1936.15,Month-to-month,DSL,Mailed check,0,No,No,Yes,No,No,No,Yes,Yes,No,No,1
CUST-00178,38,48.95,1843.12,Two year,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,0
CUST-00179,24,97.75,2352.11,Month-to-month,No,Mailed check,0,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00180,69,96.12,6617.65,Month-to-month,Fiber optic,Mailed check,0,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,1
CUST-00181,70,88.55,6180.55,One year,No,Credit card,0,No,No,No,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00182,11,116.5,1268.75,Month-to-month,Fiber optic,Credit card,0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,1
CUST-00183,16,58.14,922.73,Month-to-month,Fiber optic,Bank transfer,0,No,Yes,No,No phone service,Yes,Yes,Yes,Yes,No,No,0
CUST-00184,59,31.33,1847.49,Month-to-month,DSL,Credit card,0,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,0
CUST-00185,70,86.51,6060.41,Month-to-month,No,Bank transfer,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00186,3,92.39,203.4,One year,DSL,Credit card,0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,0
CUST-00187,20,76.66,1517.05,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,0
CUST-00188,59,39.1,2299.07,One year,DSL,Mailed check,0,Yes,No,Yes,No,No,No,Yes,No,No,No,0
CUST-00189,36,69.45,2530.3,Two year,No,Bank transfer,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00190,19,49.84,925.36,Month-to-month,No,Bank transfer,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00191,67,61.6,4130.46,Month-to-month,No,Electronic check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00192,19,83.81,1622.29,Month-to-month,Fiber optic,Mailed check,0,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,1
CUST-00193,20,94.01,1853.94,Month-to-month,Fiber optic,Electronic check,0,No,No,Yes,No,No,No,Yes,No,Yes,No,1
